Šifra,Naziv
55.30,Kampovi i prostori za kampiranje
55.9,Ostali smještaj
55.90,Ostali smještaj
56,Djelatnosti pripreme i usluživanja hrane i pića
56.1,Djelatnosti restorana i ostalih objekata za pripremu i usluživanje hrane
56.10,Djelatnosti restorana i ostalih objekata za pripremu i usluživanje hrane
56.2,Djelatnosti  keteringa  i  ostale  djelatnosti  pripreme  i usluživanja hrane
56.21,Djelatnosti keteringa
56.29,Ostale djelatnosti pripreme i usluživanja hrane
56.3,Djelatnosti pripreme i usluživanja pića
56.30,Djelatnosti pripreme i usluživanja pića
J,INFORMACIJE I KOMUNIKACIJE
58,Izdavačke djelatnosti
58.1,"Izdavanje knjiga, periodičnih publikacija i ostale izdavačke djelatnosti"
58.11,Izdavanje knjiga
58.12,Izdavanje imenika i popisa korisničkih adresa
58.13,Izdavanje novina
58.14,Izdavanje časopisa i periodičnih publikacija
58.19,Ostala izdavačka djelatnost
58.2,Izdavanje softvera
58.21,Izdavanje računarskih igara
58.29,Izdavanje ostalog softvera
59,"Proizvodnja filmova, videofilmova i televizijskog programa, djelatnosti snimanja zvučnih zapisa i izdavanja muzičkih zapisa"
59.1,"Proizvodnja i distribucija filmova, videofilmova i televizijskog programa"
59.11,"Proizvodnja filmova, videofilmova i televizijskog programa"
59.12,"Djelatnosti koje slijede nakon proizvodnje filmova, videofilmova i televizijskog programa"
59.13,"Distribucija filmova, videofilmova i televizijskog programa"
59.14,Djelatnosti prikazivanja filmova
59.2,Djelatnosti snimanja zvučnih zapisa i izdavanja muzičkih zapisa
59.20,Djelatnosti snimanja zvučnih zapisa i izdavanja muzičkih zapisa
60,Emitiranje programa
60.1,Emitiranje radijskog programa
60.10,Emitiranje radijskog programa
60.2,Emitiranje televizijskog programa
60.20,Emitiranje televizijskog programa
61,Telekomunikacije
61.1,Djelatnosti žičane telekomunikacije
61.10,Djelatnosti žičane telekomunikacije
61.2,Djelatnosti bežične telekomunikacije
61.20,Djelatnosti bežične telekomunikacije
61.3,Djelatnosti satelitske telekomunikacije
61.30,Djelatnosti satelitske telekomunikacije
61.9,Ostale telekomunikacijske djelatnosti
61.90,Ostale telekomunikacijske djelatnosti
62,"Računarsko programiranje, savjetovanje i djelatnosti u vezi s s njima"
62.0,"Računarsko programiranje, savjetovanje i djelatnosti u vezi s njima"
62.01,Računarsko programiranje
62.02,Savjetovanje u vezi s računarima
62.03,Upravljanje računarskom opremom i sistemom
62.09,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računarima
63,Informacijske uslužne djelatnosti
63.1,"Obrada podataka, usluge hostinga i djelatnosti u vezi s njima"," internetski portali"
63.11,"Obrada podataka, usluge hostinga i djelatnosti u vezi s njima"
63.12,Internetski portali
63.9,Ostale informacijske uslužne djelatnosti
63.91,Djelatnosti novinskih agencija
63.99,"Ostale informacijske uslužne djelatnosti, d. n."
K,FINANSIJSKE DJELATNOSTI I DJELATNOSTI OSIGURANJA
64,"Finansijske uslužne djelatnosti, osim osiguranja i penzijskih fondova"
64.1,Novčarsko posredovanje
64.11,Djelatnost Centralne banke
64.19,Ostalo novčarsko posredovanje
64.2,Djelatnosti finansijskih holding-društava
64.20,Djelatnosti finansijskih holding-društava
64.3,"Trustovi, ostali fondovi i slični finansijski subjekti"
64.30,"Trustovi, fondovi i slični finansijski subjekti"
64.9,"Ostale  finansijske uslužne  djelatnosti,  osim  osiguranja  i penzijskih fondova"
64.91,Finansijski zakup (leasing)
64.92,Ostalo kreditno posredovanje
64.99,"Ostale finansijske uslužne djelatnosti, osim osiguranja i penzijskih fondova, d. n."
65,"Osiguranje, reosiguranje i penzijski fondovi, osim obaveznog socijalnog osiguranja"
65.1,Osiguranje
65.11,Životno osiguranje
65.12,Ostalo osiguranje
65.2,Reosiguranje
65.20,Reosiguranje
65.3,Penzijski fondovi
65.30,Penzijski fondovi
66,Pomoćne djelatnosti kod finansijskih usluga i djelatnosti osiguranja
66.1,"Pomoćne djelatnosti kod finansijskih usluga, osim osiguranja i penzijskih fondova"
66.11,Poslovanje finansijskih tržišta
66.12,Djelatnosti posredovanja u poslovanju vrijednosnim papirima i robnim ugovorima
66.19,"Ostale pomoćne djelatnosti  kod  finansijskih usluga, osim osiguranja i penzijskih fondova"
66.2,Pomoćne djelatnosti u osiguranju i penzijskim fondovima
66.21,Procjena rizika i štete
66.22,Djelatnosti agenata i posrednika osiguranja
66.29,Ostale pomoćne djelatnosti u osiguranju i penzijskim fondovima
66.3,Djelatnosti upravljanja fondovima
66.30,Djelatnosti upravljanja fondovima
L,POSLOVANJE NEKRETNINAMA
68,Poslovanje nekretninama
68.1,Kupovina i prodaja vlastitih nekretnina
68.10,Kupovina i prodaja vlastitih nekretnina
68.2,Iznajmljivanje  i  upravljanje  vlastitim  nekretninama  ili nekretninama uzetim u zakup (leasing)
68.20,Iznajmljivanje  i  upravljanje  vlastitim  nekretninama  ili nekretninama uzetim u zakup (leasing)
68.3,Poslovanje nekretninama uz naknadu ili na osnovu ugovora
68.31,Agencije za poslovanje nekretninama
68.32,Upravljanje nekretninama uz naknadu ili na osnovu ugovora
M,"STRUČNE, NAUČNE I TEHNIČKE DJELATNOSTI"
69,Pravne i računovodstvene djelatnosti
69.1,Pravne djelatnosti
69.10,Pravne djelatnosti
69.2,"Računovodstvene,  knjigovodstvene i  revizijske  djelatnosti"," porezno savjetovanje"
69.20,"Računovodstvene, knjigovodstvene i revizijske djelatnosti"," porezno savjetovanje"
70,Upravljačke djelatnosti," savjetovanje u vezi s upravljanjem"
70.1,Upravljačke djelatnosti
70.10,Upravljačke djelatnosti
70.2,Savjetovanje u vezi s upravljanjem
70.21,Odnosi s javnošću i djelatnosti saopćavanja
70.22,Savjetovanje u vezi s poslovanjem i ostalim upravljanjem
71,Arhitektonske i inžinjerske djelatnosti," tehničko ispitivanje i analiza"
71.1,Arhitektonske i inžinjerske djelatnosti i s njima povezano tehničko savjetovanje
71.11,Arhitektonske djelatnosti
71.12,Inžinjerske djelatnosti i s njima povezano tehničko savjetovanje
71.2,Tehničko ispitivanje i analiza
71.20,Tehničko ispitivanje i analiza
72,Naučno istraživanje i razvoj
72.1,"Istraživanje i eksperimentalni razvoj u prirodnim, tehničkim i tehnološkim naukama"
72.11,Istraživanje i eksperimentalni razvoj u biotehnologiji
72.19,"Ostalo istraživanje i eksperimentalni razvoj u prirodnim, tehničkim i tehnološkim naukama"
72.2,Istraživanje  i  eksperimentalni  razvoj  u  društvenim  i humanističkim naukama
72.20,Istraživanje  i  eksperimentalni  razvoj  u  društvenim  i humanističkim naukama
73,Promocija (reklama i propaganda) i istraživanje tržišta
73.1,Promocija (reklama i propaganda)
73.11,Agencije za promociju (reklamu i propagandu)
73.12,Oglašavanje putem medija
73.2,Istraživanje tržišta i ispitivanje javnog mnijenja
73.20,Istraživanje tržišta i ispitivanje javnog mnijenja
74,"Ostale stručne, naučne i tehničke djelatnosti"
74.1,Specijalizirane dizajnerske djelatnosti
74.10,Specijalizirane dizajnerske djelatnosti
74.2,Fotografske djelatnosti
74.20,Fotografske djelatnosti
74.3,Prevodilačke djelatnosti i usluge tumača
74.30,Prevodilačke djelatnosti i usluge tumača
74.9,"Ostale stručne, naučne i tehničke djelatnosti, d. n."
74.90,"Ostale stručne, naučnee i tehničke djelatnosti, d. n."
75,Veterinarske djelatnosti
75.0,Veterinarske djelatnosti
75.00,Veterinarske djelatnosti
N,ADMINISTRATIVNE I POMOĆNE USLUŽNE DJELATNOSTI
77,Djelatnosti iznajmljivanja i davanja u zakup (leasing)
77.1,Iznajmljivanje i davanje u zakup (leasing) motornih vozila
77.11,Iznajmljivanje i davanje u zakup (leasing) automobila i motornih vozila lake kategorije
77.12,Iznajmljivanje i davanje u zakup (leasing) kamiona
77.2,Iznajmljivanje i davanje u zakup (leasing) predmeta za ličnu upotrebu i domaćinstvo
77.21,Iznajmljivanje i davanje u zakup (leasing) opreme za rekreaciju i sport
77.22,Iznajmljivanje videokaseta i diskova
77.29,Iznajmljivanje i davanje u zakup (leasing) ostalih predmeta za ličnu upotrebu i domaćinstvo
77.3,"Iznajmljivanje i davanje u zakup (leasing) ostalih mašina, opreme te materijalnih dobara"
77.31,Iznajmljivanje i  davanje u  zakup (leasing) poljoprivrednih mašina i opreme
77.32,Iznajmljivanje i davanje u zakup (leasing) mašina i opreme za građevinarstvo
77.33,Iznajmljivanje i davanje u zakup (leasing) kancelarijskih mašina i opreme (uključujući računare)
77.34,Iznajmljivanje i davanje u zakup (leasing) plovnih prijevoznih sredstava
77.35,Iznajmljivanje i davanje u zakup (leasing) zračnih prijevoznih sredstava
77.39,"Iznajmljivanje  i davanje  u zakup  (leasing) ostalih  mašina, opreme i materijalnih dobara, d. n."
77.4,"Davanje u zakup (leasing) prava na upotrebu intelektualnog vlasništva i sličnih proizvoda, osim radova koji su zaštićeni autorskim pravima"
77.40,"Davanje u zakup (leasing) prava na upotrebu intelektualnog vlasništva i sličnih proizvoda, osim radova koji su zaštićeni autorskim pravima"
78,Djelatnosti posredovanja u zapošljavanju
78.1,Djelatnosti agencija za zapošljavanje
78.10,Djelatnosti agencija za zapošljavanje
78.2,Djelatnosti agencija za privremeno zapošljavanje
78.20,Djelatnosti agencija za privremeno zapošljavanje
78.3,Ostalo ustupanje ljudskih resursa
78.30,Ostalo ustupanje ljudskih resursa
79,"Putničke agencije,  organizatori putovanja, turoperatori i ostale rezervacijske usluge te djelatnosti u vezi s njima"
79.1,Djelatnosti putničkih agencija i turoperatora
79.11,Djelatnosti putničkih agencija
79.12,Djelatnosti turoperatora
79.9,Ostale rezervacijske usluge i djelatnosti u vezi s njima
79.90,Ostale rezervacijske usluge i djelatnosti u vezi s njima
80,Zaštitne i istražne djelatnosti
80.1,Djelatnosti privatne zaštite
80.10,Djelatnosti privatne zaštite
80.2,Usluge zaštite uz pomoć sigurnosnih sistema
80.20,Usluge zaštite uz pomoć sigurnosnih sistema
80.3,Istražne djelatnosti
80.30,Istražne djelatnosti
81,Usluge u  vezi  s  upravljanjem  i  održavanjem  zgrada  te djelatnosti uređenja i održavanja zelenih površina
81.1,Pomoćne djelatnosti upravljanja zgradama
81.10,Pomoćne djelatnosti upravljanja zgradama
81.2,Djelatnosti čišćenja
81.21,Osnovno čišćenje zgrada
81.22,Ostale djelatnosti čišćenja zgrada i objekata
81.29,Ostale djelatnosti čišćenja
81.3,Uslužne djelatnosti uređenja i održavanja zelenih površina
81.30,Uslužne djelatnosti uređenja i održavanja zelenih površina
82,Kancelarijske  administrativne i pomoćne djelatnosti te ostale poslovne pomoćne djelatnosti
82.1,Kancelarijske administrativne i pomoćne djelatnosti
82.11,Kombinirane kancelarijske administrativne uslužne djelatnosti
82.19,"Fotokopiranje, priprema dokumenata i ostale specijalizirane kancelarijske pomoćne djelatnosti"
82.2,Djelatnosti pozivnih centara
82.20,Djelatnosti pozivnih centara
82.3,Organizacija sastanaka i poslovnih sajmova
82.30,Organizacija sastanaka i poslovnih sajmova
82.9,"Poslovne pomoćne uslužne djelatnosti, d. n."
82.91,Djelatnosti agencija za prikupljanje i naplatu računa te kreditnih kancelarija
82.92,Djelatnosti pakovanja
82.99,"Ostale poslovne pomoćne uslužne djelatnosti, d. n."
O,JAVNA UPRAVA I ODBRANA," OBAVEZNO SOCIJALNO OSIGURANJE"
84,Javna uprava i odbrana," obavezno socijalno osiguranje"
84.1,Javna uprava te ekonomska i socijalna politika zajednice
84.11,Opće djelatnosti javne uprave
84.12,"Reguliranje djelatnosti javnih subjekata koji pružaju zdravstvenu zaštitu, usluge u obrazovanju i kulturi i druge društvene usluge, osim obaveznog socijalnog osiguranja"
84.13,Reguliranje i doprinos poboljšavanju poslovanja u privredi
84.2,Pružanje usluga zajednici kao cjelini
84.21,Vanjski poslovi
84.22,Poslovi odbrane
84.23,Sudske i pravosudne djelatnosti
84.24,Poslovi javnog reda i sigurnosti
84.25,Djelatnosti vatrogasne službe
84.3,Djelatnosti obaveznog socijalnog osiguranja
84.30,Djelatnosti obaveznog socijalnog osiguranja
P,OBRAZOVANJE
85,Obrazovanje
85.1,Predškolsko obrazovanje
85.10,Predškolsko obrazovanje
85.2,Osnovno obrazovanje
85.20,Osnovno obrazovanje
85.3,Srednje obrazovanje
85.31,Opće srednje obrazovanje
85.32,Tehničko i stručno srednje obrazovanje
85.4,Visoko obrazovanje
85.41,Obrazovanje nakon srednjeg koje nije visoko
85.42,Visoko obrazovanje
85.5,Ostalo obrazovanje i poučavanje
85.51,Obrazovanje i poučavanje u području sporta i rekreacije
85.52,Obrazovanje i poučavanje u području kulture
85.53,Djelatnosti vozačkih škola
85.59,"Ostalo obrazovanje i poučavanje, d. n."
85.6,Pomoćne uslužne djelatnosti u obrazovanju
85.60,Pomoćne uslužne djelatnosti u obrazovanju
Q,DJELATNOSTI ZDRAVSTVENE I SOCIJALNE ZAŠTITE
86,Djelatnosti zdravstvene zaštite
86.1,Djelatnosti bolnica
86.10,Djelatnosti bolnica
86.2,Djelatnosti medicinske i stomatološke prakse
86.21,Djelatnosti opće medicinske prakse
86.22,Djelatnosti specijalističke medicinske prakse
86.23,Djelatnosti stomatološke prakse
86.9,Ostale djelatnosti zdravstvene zaštite
86.90,Ostale djelatnosti zdravstvene zaštite
87,Djelatnosti socijalne zaštite u ustanovama sa smještajem
87.1,Djelatnosti ustanova sa smještajem koje uključuju određeni stepen zdravstvene njege
87.10,Djelatnosti  ustanova  sa  smještajem  koje  uključuju određeni stepen zdravstvene njege
87.2,"Djelatnosti  u  ustanovama  sa  smještajem  za  osobe  s teškoćama  u  razvoju,  duševno  bolesne  i  osobe  ovisne  o alkoholu,  drogama  ili  drugim  opojnim sredstvima s uključenim određenim stepenom zdravstvene njege"
87.20,"Djelatnosti u ustanovama sa smještajem za osobe s teškoćama u razvoju, duševno bolesne i osobe ovisne o alkoholu, drogama ili drugim  opojnim sredstvima s uključenim određenim stepenom zdravstvene njege"
87.3,Djelatnosti socijalne zaštite u ustanovama sa smještajem za starije osobe i osobe s invaliditetom bez  ili s minimalnom njegom
87.30,Djelatnosti  socijalne  zaštite  u  ustanovama  sa  smještajem za starije osobe i osobe s invaliditetom bez ili s minimalnom njegom
87.9,Ostale djelatnosti socijalne zaštite u ustanovama sa smještajem
87.90,Ostale djelatnosti socijalne zaštite u ustanovama sa smještajem
88,Djelatnosti socijalne zaštite bez smještaja
88.1,Djelatnosti socijalne zaštite bez smještaja za starije osobe i osobe s invaliditetom
88.10,Djelatnosti socijalne zaštite bez smještaja za starije osobe i osobe s invaliditetom
88.9,Ostale djelatnosti socijalne zaštite bez smještaja
88.91,Djelatnosti dnevne brige o djeci
88.99,"Ostale djelatnosti socijalne zaštite bez smještaja, d. n."
R,"UMJETNOST, ZABAVA I REKREACIJA"
90,"Kreativne, umjetničke i zabavne djelatnosti"
90.0,"Kreativne, umjetničke i zabavne djelatnosti"
90.01,Izvođačka umjetnost
90.02,Pomoćne djelatnosti u izvođačkoj umjetnosti
90.03,Umjetničko stvaralaštvo
90.04,Rad umjetničkih objekata
91,"Biblioteke, arhivi, muzeji i ostale kulturne djelatnosti"
91.0,"Biblioteke, arhivi, muzeji i ostale kulturne djelatnosti"
91.01,Djelatnosti biblioteka i arhiva
91.02,Djelatnosti muzeja
91.03,Rad historijskih mjesta i građevina te sličnih znamenitosti za posjetioce
91.04,Djelatnosti botaničkih i zooloških vrtova i prirodnih rezervata
92,Djelatnosti kockanja i klađenja
92.0,Djelatnosti kockanja i klađenja
92.00,Djelatnosti kockanja i klađenja
93,"Sportske, zabavne i rekreacijske djelatnosti"
93.1,Sportske djelatnosti
93.11,Rad sportskih objekata
93.12,Djelatnosti sportskih klubova
93.13,Fitnes centri
93.19,Ostale sportske djelatnosti
93.2,Zabavne i rekreacijske djelatnosti
93.21,Djelatnosti zabavnih i tematskih parkova
93.29,Ostale zabavne i rekreacijske djelatnosti
S,OSTALE USLUŽNE DJELATNOSTI
94,Djelatnosti članskih organizacija
94.1,"Djelatnosti poslovnih organizacija, udruženja poslodavaca i strukovnih članskih organizacija"
94.11,Djelatnosti poslovnih organizacija i udruženja poslodavaca
94.12,Djelatnosti strukovnih članskih organizacija
94.2,Djelatnosti sindikata
94.20,Djelatnosti sindikata
94.9,Djelatnosti ostalih članskih organizacija
94.91,Djelatnosti vjerskih organizacija
94.92,Djelatnosti političkih organizacija
94.99,"Djelatnosti ostalih članskih organizacija, d. n."
95,Popravak računara i predmeta za ličnu upotrebu i domaćinstvo
95.1,Popravak računara i komunikacijske opreme
95.11,Popravak računara i periferne opreme
95.12,Popravak komunikacijske opreme
95.2,Popravak predmeta za ličnu upotrebu i domaćinstvo
95.21,Popravak elektroničkih uređaja za široku potrošnju
95.22,Popravak aparata za domaćinstvo te opreme za kuću i vrt
95.23,Popravak obuće i proizvoda od kože
95.24,Popravak namještaja i pokućstva
95.25,Popravak satova i nakita
95.29,Popravak ostalih predmeta za ličnu upotrebu i domaćinstvo
96,Ostale lične uslužne djelatnosti
96.0,Ostale lične uslužne djelatnosti
96.01,Pranje i hemijsko čišćenje tekstila i krznenih proizvoda
96.02,Frizerski i drugi tretmani za uljepšavanje
96.03,Pogrebne i srodne djelatnosti
96.04,Djelatnosti za njegu i održavanje tijela
96.09,"Ostale lične uslužne djelatnosti, d. n."
T,DJELATNOSTI DOMAĆINSTAVA KAO POSLODAVACA," DJELATNOSTI DOMAĆINSTAVA KOJA PROIZVODE RAZLIČITA DOBRA  I OBAVLJAJU RAZLIČITE USLUGE ZA VLASTITE POTREBE"
97,Djelatnosti  domaćinstava kao poslodavaca koji zapošljavaju poslugu
97.0,Djelatnosti domaćinstava kao poslodavaca koji zapošljavaju poslugu
97.00,Djelatnosti  domaćinstava  kao  poslodavaca koji zapošljavaju poslugu
98,Djelatnosti privatnih domaćinstava koja proizvode različita dobra i obavljaju različite usluge za vlastite potrebe
98.1,Djelatnosti privatnih domaćinstava koja  proizvode različita dobra za vlastite potrebe
98.10,Djelatnosti privatnih domaćinstava koja proizvode različita dobra za vlastite potrebe
98.2,Djelatnosti privatnih domaćinstava koja obavljaju različite usluge za vlastite potrebe
98.20,Djelatnosti privatnih domaćinstava koja obavljaju različite usluge za vlastite potrebe
U,DJELATNOSTI VANTERITORIJALNIH ORGANIZACIJA I ORGANA
99,Djelatnosti vanteritorijalnih organizacija i organa
99.0,Djelatnosti vanteritorijalnih organizacija i organa
99.00,Djelatnosti vanteritorijalnih organizacija i organa
